%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1783583646163964621,2854,1783583646163964621,base_link,0.00956853308307,0.0140066062437,-0.821648404273,-0.569742185477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00143890781328,-0.00284229125828,0.0271446164697,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,-0.3138128,9.8262633,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
