%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646162964621,1427,1783583646162964621,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583646663265304,1428,1783583646663265304,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647163042013,1429,1783583647163042013,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583647663313058,1430,1783583647663313058,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648163196988,1431,1783583648163196988,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583648663092510,1432,1783583648663092510,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649163079988,1433,1783583649163079988,,255
1783583649663175145,1434,1783583649663175145,,255
1783583649663175145,1434,1783583649663175145,,255
1783583649663175145,1434,1783583649663175145,,255
1783583649663175145,1434,1783583649663175145,,255
1783583649663175145,1434,1783583649663175145,,255
1783583649663175145,1434,1783583649663175145,,255
